_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment,State
33,Kuala Rompin,KROM,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete building.,2.76306235,103.6229504,23.5762,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Sek. Men Teknik Sultan Ahmad Shah Rompin, Pahang",Pahang
34,Kuala Terengganu,KUAL,Domes Number belum diperolehi,KUAL,5.318889548,103.1914556,54.9904,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jabatan Penyiaran Terengganu (RTM), Kuala Terengganu, Terengganu.",Terengganu
35,Kudat,KUDA,Domes Number belum diperolehi,KUDA,6.911269097,116.9129496,65.8788,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Abdul Rahim II, Kudat, Sabah.",Sabah
36,Kukup,KUKP,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.333275199,103.4843222,15.3528,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Jabatan Pengaliran dan Saliran Bandar Permas, Johor.",Johor
37,Labuan,LAB1,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 9 meter concrete monument.,5.282641914,115.3477377,57.2332,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jalan Tun Mustapha, Wilayah Persekutuan Labuan.",Labuan
38,Lasah,LASA,22729M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,4.923837191,101.0804138,61.4509,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Rancangan Lembaga Kemauan Tanah Persekutuan (RLKTP) Lasah, Perak.",Perak
39,Lawas,LAWS,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,4.872184161,115.5263007,57.4586,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Agama (MIS) Lawas, Sarawak.",Sarawak
40,Labis,LBIS,Domes Number belum diperolehi,LBIS,2.472259803,103.0965083,66.6747,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Kg. Ayer Panas, Labis, Johor.",Johor
41,Lebir,LEBI,Domes Number belum diperolehi,LEBI,5.004828941,102.4756869,84.1119,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Lebir, Gua Musang, Kelantan.",Kelantan
42,Pulau Langkawi,LGKW,22722M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of tower.,6.328502216,99.86260433,14.5091,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Balai Bomba dan Penyelamat Persiaran Putra, Kedah.",Kedah
43,Meru,MERU,22736M001,Geodetic ground marker (circle plate with bolt). 6.0 meter concrete monument.,3.138237019,101.4745561,6.4099,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Meru, Persiaran Datuk Hamzah, Meru, Selangor.",Selangor
44,Miri,MIRI,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of the building.,4.372100928,114.0174261,62.3213,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Pejabat Ukur Topografi Wilayah II Miri, Sarawak.",Sarawak
45,Merchang,MRCH,Domes Number belum diperolehi,MRCH,5.026600616,103.395578,31.5154,LEICA GR50,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Merchang, Marang, Terengganu",Terengganu
46,Marudi,MRDI,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,4.183740011,114.3373938,70.0936,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Marudi, Marudi, Sarawak.",Sarawak
47,Kota Marudu,MRDU,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 8 meter concrete monument.,6.523891569,116.793674,61.2159,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Kota Marudu II, Kota Marudu, Sabah.",Sabah
48,Mersing,MRSG,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building,2.453467567,103.9375172,18.0673,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Mersing, Jalan Endau, Johor.",Johor
49,Tawau,MTAW,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 3.5 meter concrete monument.,4.26277397,118.0164759,72.7826,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jalan Kukusan, Tawau, Sabah.",Sabah
50,Muadzam Shah,MUAD,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.071793273,103.1443663,50.0705,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMKA Muadzam Shah, Muadzam Shah, Pahang",Pahang
